pos x,pos y,ori,major axis len,minor axis len,body area,fg area,img contrast,min fg dist,wing l x,wing l y,wing r x,wing r y,wing l ang,wing l len,wing r ang,wing r len,leg 1 x,leg 1 y,leg 2 x,leg 2 y,leg 3 x,leg 3 y,leg 4 x,leg 4 y,leg 5 x,leg 5 y,leg 6 x,leg 6 y,leg 1 ang,leg 2 ang,leg 3 ang,leg 4 ang,leg 5 ang,leg 6 ang,vel,ang_vel,min_wing_ang,max_wing_ang,mean_wing_length,axis_ratio,fg_body_ratio,contrast,dist_to_wall
412.54,38.595,-0.65119,9.9809,4.9168,37,41,1.1211,8.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,418,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0481,NaN,NaN,NaN,NaN,NaN,0.10961,0,NaN,NaN,NaN,2.0299,1.1081,1.1211,2.2773
412.54,38.595,-0.65119,9.9809,4.9168,37,41,1.1211,8.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,418,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0481,NaN,NaN,NaN,NaN,NaN,0.10961,1.0279,NaN,NaN,NaN,2.0135,1.1074,1.1208,2.2773
412.58,38.579,-0.73342,9.9295,5.0554,38,42,1.1198,9.2195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21922,2.0559,NaN,NaN,NaN,1.9806,1.106,1.1234,2.2773
412.58,38.579,-0.73342,9.9295,5.0554,38,42,1.1328,9.2195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45739,1.6777,NaN,NaN,NaN,1.9406,1.0977,1.1086,2.2773
412.57,38.425,-0.7854,9.886,5.2871,40,43,1.0489,8.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1806,1.6163,NaN,NaN,NaN,1.8904,1.0841,1.0894,2.2773
413.27,39.189,-0.76005,9.5696,5.1513,37,40,1.1269,10.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.16,1.2834,NaN,NaN,NaN,1.8607,1.0796,1.1102,2.2773
413.27,39.189,-0.76005,9.5696,5.1513,37,40,1.1381,10.198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1365,2.1619,NaN,NaN,NaN,1.8887,1.0676,1.1476,2.2773
413.46,39.216,-0.90766,9.9221,5.0066,37,38,1.1871,9.4868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.297,3.7651,NaN,NaN,NaN,2.0085,1.0552,1.1482,2.2773
413.57,39.143,-0.91366,10.174,4.5984,35,38,1.0804,9.4868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1583,2.3678,NaN,NaN,NaN,2.1458,1.0717,1.1056,2.1769
413.53,39.029,-0.88384,9.9559,4.575,34,37,1.0744,9.4868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0938,1.7964,NaN,NaN,NaN,2.1236,1.0791,1.0765,2.1769
